Freq (GHZ)	RL(dB)
17.83	-11.99
17.83	-11.85
17.84	-11.73
17.84	-11.97
17.84	-11.85
17.85	-11.52
17.85	-12.01
17.85	-11.79
17.86	-11.85
17.86	-12.03
17.86	-12.09
17.87	-11.77
17.87	-11.75
17.87	-11.93
17.88	-11.81
17.88	-11.69
17.88	-11.17
17.89	-11.53
17.89	-11.84
17.89	-11.44
17.9	-11.43
17.9	-11.4
17.91	-11.67
17.91	-11.59
17.91	-11.61
17.92	-12.0
17.92	-11.86
17.92	-11.5
17.93	-12.23
17.93	-11.79
17.93	-12.32
17.94	-11.97
17.94	-11.8
17.94	-11.67
17.95	-11.95
17.95	-12.01
17.95	-11.72
17.96	-11.73
17.96	-11.82
17.96	-11.7
17.97	-12.06
17.97	-12.18
17.98	-11.53
17.98	-11.82
17.98	-12.12
17.99	-11.87
17.99	-11.89
17.99	-11.48
18.0	-11.73
18.0	-12.13
